server analysis:
0.025 & 10000 & 14 & 1793.9 & 1895.2 & 5.65\% & 180.8 \\ \hline
0.05 & 10000 & 14 & 1795.3 & 1895.7 & 5.59\% & 80.0 \\ \hline
0.1 & 10000 & 14 & 1794.2 & 1891.1 & 5.40\% & 38.6 \\ \hline
0.2 & 10000 & 14 & 1793.2 & 1888.0 & 5.29\% & 19.7 \\ \hline
0.4 & 10000 & 14 & 1790.3 & 1834.7 & 2.48\% & 10.6 \\ \hline
0.8 & 10000 & 14 & 1798.5 & 1841.5 & 2.39\% & 5.0 \\ \hline
client analysis:
0.025 & 10000 & 1126.5 & 2388.5 & 112.03\% \\ \hline
0.05 & 10000 & 1127.0 & 2387.2 & 111.82\% \\ \hline
0.1 & 10000 & 1126.0 & 2384.6 & 111.78\% \\ \hline
0.2 & 10000 & 1125.1 & 2382.6 & 111.77\% \\ \hline
0.4 & 10000 & 1122.7 & 2308.4 & 105.62\% \\ \hline
0.8 & 10000 & 1128.7 & 2322.0 & 105.72\% \\ \hline
epsilon,clients,noises,trials,
0.025,10000,14,50,
flavor,dimension,calculated_sum,actual_sum,client_elapsed,server_elapsed,
prio,1,4923,4923,1133,1791,
prio,1,5013,5013,1126,1797,
prio,1,4995,4995,1125,1793,
prio,1,4922,4922,1124,1790,
prio,1,5014,5014,1123,1792,
prio,1,5029,5029,1124,1791,
prio,1,5054,5054,1123,1794,
prio,1,5054,5054,1122,1789,
prio,1,4961,4961,1129,1798,
prio,1,5021,5021,1132,1800,
prio,1,4996,4996,1131,1799,
prio,1,5020,5020,1129,1799,
prio,1,4947,4947,1130,1799,
prio,1,5018,5018,1131,1801,
prio,1,4993,4993,1130,1798,
prio,1,5032,5032,1129,1797,
prio,1,5016,5016,1129,1797,
prio,1,4988,4988,1128,1796,
prio,1,4892,4892,1132,1807,
prio,1,4984,4984,1129,1799,
prio,1,4967,4967,1125,1780,
prio,1,4998,4998,1117,1782,
prio,1,5027,5027,1118,1783,
prio,1,5039,5039,1118,1785,
prio,1,4974,4974,1120,1787,
prio,1,5054,5054,1120,1786,
prio,1,4922,4922,1120,1787,
prio,1,5020,5020,1121,1793,
prio,1,5074,5074,1128,1796,
prio,1,4908,4908,1129,1796,
prio,1,5026,5026,1130,1796,
prio,1,5012,5012,1130,1799,
prio,1,4992,4992,1130,1796,
prio,1,4926,4926,1130,1797,
prio,1,4945,4945,1130,1796,
prio,1,5081,5081,1132,1799,
prio,1,4944,4944,1130,1798,
prio,1,4959,4959,1119,1784,
prio,1,4935,4935,1131,1798,
prio,1,5057,5057,1129,1797,
prio,1,4898,4898,1129,1795,
prio,1,5004,5004,1118,1782,
prio,1,5034,5034,1119,1788,
prio,1,5005,5005,1122,1786,
prio,1,5049,5049,1119,1796,
prio,1,5041,5041,1134,1803,
prio,1,4931,4931,1128,1795,
prio,1,4925,4925,1128,1794,
prio,1,4980,4980,1128,1796,
prio,1,5026,5026,1133,1799,
dprio,11,5007,4987,2401,1897,
dprio,11,5256,5053,2390,1897,
dprio,11,4825,5030,2383,1896,
dprio,11,4601,4954,2383,1892,
dprio,11,4975,5060,2383,1892,
dprio,11,4884,4948,2382,1891,
dprio,11,4932,5009,2380,1891,
dprio,11,5214,4937,2382,1888,
dprio,11,5489,4927,2400,1904,
dprio,11,5123,5027,2401,1900,
dprio,11,4831,5077,2401,1900,
dprio,11,4979,4972,2398,1900,
dprio,11,5075,5067,2397,1901,
dprio,11,5265,4921,2393,1900,
dprio,11,5099,4940,2394,1899,
dprio,11,4470,4905,2391,1897,
dprio,11,4752,4979,2392,1896,
dprio,11,4846,5033,2398,1908,
dprio,11,5240,5010,2409,1907,
dprio,11,5296,5088,2396,1901,
dprio,11,4703,5009,2367,1883,
dprio,11,4971,4968,2367,1883,
dprio,11,4645,4989,2367,1884,
dprio,11,4837,5030,2371,1885,
dprio,11,4881,4992,2372,1886,
dprio,11,5090,5102,2375,1889,
dprio,11,5078,4935,2373,1886,
dprio,11,5342,5028,2396,1900,
dprio,11,4828,5052,2394,1898,
dprio,11,5029,5031,2380,1889,
dprio,11,5004,5021,2395,1898,
dprio,11,5096,4964,2396,1897,
dprio,11,5321,5069,2396,1898,
dprio,11,5199,5019,2394,1898,
dprio,11,4879,5048,2398,1899,
dprio,11,5108,5007,2395,1898,
dprio,11,5007,4970,2374,1885,
dprio,11,4574,5003,2371,1898,
dprio,11,5192,4949,2396,1899,
dprio,11,5424,5003,2401,1901,
dprio,11,4703,4946,2399,1893,
dprio,11,4977,5008,2370,1884,
dprio,11,5088,4955,2370,1883,
dprio,11,4989,4908,2369,1885,
dprio,11,4796,4897,2404,1903,
dprio,11,5342,4989,2395,1897,
dprio,11,5081,4985,2392,1896,
dprio,11,5297,5042,2394,1898,
dprio,11,4915,4990,2398,1908,
dprio,11,5022,4976,2401,1904,
epsilon,clients,noises,trials,
0.05,10000,14,50,
flavor,dimension,calculated_sum,actual_sum,client_elapsed,server_elapsed,
prio,1,5078,5078,1130,1795,
prio,1,4944,4944,1129,1795,
prio,1,4991,4991,1133,1804,
prio,1,4996,4996,1133,1802,
prio,1,5016,5016,1118,1779,
prio,1,5012,5012,1118,1780,
prio,1,5087,5087,1133,1803,
prio,1,5080,5080,1131,1800,
prio,1,5016,5016,1130,1803,
prio,1,5041,5041,1132,1806,
prio,1,4864,4864,1131,1806,
prio,1,5040,5040,1132,1805,
prio,1,4942,4942,1136,1806,
prio,1,4995,4995,1135,1806,
prio,1,4987,4987,1133,1806,
prio,1,5015,5015,1132,1797,
prio,1,5068,5068,1127,1799,
prio,1,5073,5073,1133,1804,
prio,1,5004,5004,1129,1796,
prio,1,5101,5101,1130,1801,
prio,1,5035,5035,1130,1798,
prio,1,5087,5087,1132,1804,
prio,1,5004,5004,1132,1800,
prio,1,5004,5004,1127,1783,
prio,1,4980,4980,1116,1782,
prio,1,5023,5023,1117,1782,
prio,1,5011,5011,1130,1797,
prio,1,5006,5006,1127,1796,
prio,1,5050,5050,1128,1796,
prio,1,4919,4919,1130,1797,
prio,1,4975,4975,1129,1799,
prio,1,5016,5016,1130,1797,
prio,1,5055,5055,1129,1796,
prio,1,4946,4946,1129,1796,
prio,1,5077,5077,1129,1800,
prio,1,4929,4929,1135,1807,
prio,1,5042,5042,1128,1798,
prio,1,4951,4951,1128,1798,
prio,1,5016,5016,1127,1795,
prio,1,4890,4890,1131,1805,
prio,1,4909,4909,1126,1794,
prio,1,5068,5068,1120,1782,
prio,1,5097,5097,1118,1785,
prio,1,5001,5001,1116,1783,
prio,1,4996,4996,1116,1782,
prio,1,5004,5004,1117,1783,
prio,1,4898,4898,1117,1783,
prio,1,4983,4983,1117,1784,
prio,1,4964,4964,1118,1784,
prio,1,4901,4901,1117,1785,
dprio,10,5101,4927,2392,1897,
dprio,10,5088,4997,2393,1897,
dprio,10,5149,5020,2400,1902,
dprio,10,5049,5014,2367,1880,
dprio,10,4920,4988,2367,1880,
dprio,10,4748,4972,2378,1902,
